pato_id	label	parent_pato_ids	parent_labels	temporary_flopo_id	examples
PATO:0104310	narrow oval	PATO:0000599|PATO:0000947	decreased width|elliptic	FLOPO_0980393	Scirpus litoralis: narrow oval spikelets
PATO:0104311	purplish red	PATO:0000951|PATO:0000322	purple|red	FLOPO_0980394	Scrophularia arguta: purplish red flowers 7 mm wide
PATO:0104312	deep rosy	PATO:0001425|PATO:0000954|PATO:0000322	rosy|pink|red	FLOPO_0980395	Scutellaria peregrina: deep rosy flowers
PATO:0104313	almost round dentate	PATO:0000411|PATO:0001205	circular|dentated	FLOPO_0980396	Senecio flavus: almost round dentate leaves
PATO:0104314	broadly oval	PATO:0000947	elliptic	FLOPO_0980397	Sida ovata: broadly oval leaves
PATO:0104315	brilliant deep pink	PATO:0000954	pink	FLOPO_0980398	Silene coniflora: brilliant deep pink four-petalled (freak) flower
PATO:0104316	inflated in fruit	PATO:0002376	inflated	FLOPO_0980399	Silene conoidea: calyx becoming inflated in fruit
PATO:0104317	white flushed with deep pink	PATO:0000323|PATO:0000954	white|pink	FLOPO_0980400	Silene gallica var. quinquevulnera: white flowers 5 mm wide flushed with deep pink
PATO:0104318	almost terete	PATO:0000052	shape	FLOPO_0980401	Silene linearis: almost terete leaves
PATO:0104319	orange ripe	PATO:0000953	orange	FLOPO_0980402	Solanum coagulans: orange ripe fruits
PATO:0104320	bright lilac	PATO:0001943	lilac	FLOPO_0980403	Solanum coagulans: bright lilac flowers 1.5 cm wide
PATO:0104321	small cylindrical succulent	PATO:0000587|PATO:0001873|PATO:0002351	decreased size|cylindrical|fleshy	FLOPO_0980404	Suaeda aegyptiaca: small cylindrical succulent leaves
PATO:0104322	pale pinkish white	PATO:0000954|PATO:0000323	pink|white	FLOPO_0980405	Tamarix aphylla: pale pinkish white flowers
PATO:0104323	crimson tipped	PATO:0000322	red	FLOPO_0980406	Tapinanthus globiferus: the petals crimson tipped
PATO:0104324	silvery-green	PATO:0000950|PATO:0000320	grey|green	FLOPO_0980407	Tarchonanthus camphoratus: silvery-green leaves
PATO:0104325	deep rosy-red	PATO:0000322|PATO:0001425|PATO:0000954	red|rosy|pink	FLOPO_0980408	Tephrosia desertorum: deep rosy-red flowers
PATO:0104326	bright reddish purple	PATO:0000322|PATO:0000951	red|purple	FLOPO_0980409	Tephrosia purpurea: bright reddish purple flowers
PATO:0104327	flat heads	PATO:0000407	flat	FLOPO_0980410	Teucrium polium: in flat heads
PATO:0104328	dense club-shaped	PATO:0001164|PATO:0001883	dense|clavate	FLOPO_0980411	Typha domingensis: characteristic dense club-shaped spike
PATO:0104329	sometimes lobed	PATO:0001979	lobed	FLOPO_0980412	Valerianella dufresnia: the leaves sometimes lobed
PATO:0104330	reddish purple	PATO:0000322|PATO:0000951	red|purple	FLOPO_0980413	Vicia sativa: reddish purple flowers
PATO:0104331	deep magenta-pink	PATO:0000954|PATO:0000321	pink|magenta	FLOPO_0980414	Vicia sativa var. angustifolia: deep magenta-pink flowers
PATO:0104332	narrow pointed	PATO:0000599|PATO:0002258	decreased width|pointed	FLOPO_0980415	Woodfordia fruticosa: narrow pointed leaves
